	p-value	FDR
ATF4.2.SM.B_besthit	0.9545116170334492	1.0
JDP2.0.SM.D_besthit	0.9999999964942067	1.0
FOSB.2.M.C_besthit	0.9999999999791865	1.0
ATF3.3.SM.B_besthit	0.9999999999999997	1.0
CREB5.1.SM.B_besthit	0.9999914271785229	1.0
ATF2.0.PSM.A_besthit	1.0	1.0
ATF7.0.PSM.A_besthit	1.0	1.0
ATF3.2.P.B_besthit	0.9932147076173886	1.0
FOSB.1.M.C_besthit	0.9618341952607355	1.0
FOS.1.S.C_besthit	0.9999999992182909	1.0
BATF3.2.SM.B_besthit	0.9997275615867205	1.0
FOS.2.S.C_besthit	1.0	1.0
ZSC21.0.P.C_besthit	0.88745371916733	1.0
MAFA.1.M.C_besthit	0.9999999980517931	1.0
NRL.1.SM.D_besthit	0.9999960382286116	1.0
MAFB.1.P.B_besthit	0.9999999999992985	1.0
MAFK.1.P.B_besthit	0.9938905012191774	1.0
MAFF.0.PSM.A_besthit	0.9796210726523594	1.0
MAF.0.PM.A_besthit	0.9999822786941918	1.0
MAFG.0.PSM.A_besthit	0.9999999999822082	1.0
MAFK.0.PS.A_besthit	0.9999999822692837	1.0
MAF.1.PSM.A_besthit	0.9999999999999994	1.0
MAFB.0.PS.A_besthit	0.9999995344833302	1.0
NRL.0.SM.D_besthit	0.9999999999987772	1.0
MAFK.2.S.B_besthit	0.9999999041213565	1.0
MAFA.0.PSM.A_besthit	0.9999999999999994	1.0
MAFF.1.PSM.A_besthit	0.9999999999999918	1.0
MAFG.1.PSM.A_besthit	1.0	1.0
NR1D2.0.P.B_besthit	0.9999779288958586	1.0
NR1D1.0.P.B_besthit	0.9999961337428472	1.0
RORA.0.P.C_besthit	0.9999619900344627	1.0
PPARA.0.P.B_besthit	0.9895558869711213	1.0
PPARG.0.P.B_besthit	0.5362690763974032	1.0
RXRA.2.SM.B_besthit	1.0	1.0
RXRB.1.SM.B_besthit	1.0	1.0
PPARA.1.P.B_besthit	0.9999990634252972	1.0
PPARG.1.P.B_besthit	0.9998660040035269	1.0
THA.2.S.B_besthit	0.9999999911873205	1.0
THB.3.S.C_besthit	0.9775576197322554	1.0
NR6A1.2.SM.B_besthit	0.9960482543275836	1.0
NR6A1.0.P.C_besthit	0.9998167962098821	1.0
NR6A1.1.P.C_besthit	0.9999976315953714	1.0
RARG.3.S.B_besthit	0.7324208173578667	1.0
NR4A1.0.PSM.A_besthit	0.9999344581010668	1.0
NR4A2.0.SM.D_besthit	0.9871793831029145	1.0
TFCP2.2.S.D_besthit	0.9954619334565227	1.0
IRF3.1.SM.B_besthit	0.99999097818352	1.0
IRF5.1.S.B_besthit	0.8737888201944004	1.0
IRF5.0.SM.B_besthit	0.9999988119471439	1.0
IRF6.0.SM.D_besthit	0.999999999946868	1.0
IRF6.1.S.D_besthit	0.9999918980387074	1.0
ZKSC1.0.P.B_besthit	0.1931650030734455	1.0
ZN266.0.P.B_besthit	0.9276257056062094	1.0
ZN510.1.P.C_besthit	0.7678565623012237	1.0
ZN768.0.P.B_besthit	0.29572960441876645	1.0
YBOX1.0.SM.D_besthit	0.979550712538151	1.0
Z324A.0.P.B_besthit	0.5476456638298892	1.0
RUNX2.2.M.C_besthit	0.7583509126517527	1.0
MYBB.0.S.D_besthit	0.9999863048885003	1.0
MYBB.1.S.D_besthit	0.9999999987610452	1.0
NKX25.0.PSM.A_besthit	0.9924140177247676	1.0
STAT3.0.P.B_besthit	2.794710770939629e-06	0.00011737785237946443
HSF4.0.SM.D_besthit	3.3623477247979946e-08	2.1182790666227367e-06
HSF1.0.PSM.A_besthit	0.22466339680852598	1.0
HSF2.0.PSM.A_besthit	0.9993762992128499	1.0
HSF1.1.P.B_besthit	0.18424974442960085	1.0
ZBT26.0.PSM.A_besthit	0.5792767624588452	1.0
IRX3.0.M.D_besthit	0.9993381114727103	1.0
CEBPG.1.SM.B_besthit	0.9997128787506605	1.0
CEBPB.1.SM.B_besthit	0.9791048491242486	1.0
CEBPD.1.SM.B_besthit	0.9981041969691655	1.0
SOX10.2.S.C_besthit	0.9276202943486332	1.0
ZSA5A.0.SM.D_besthit	0.019899401272426055	0.2907042968493545
ZN250.1.M.C_besthit	3.8547820497564343e-19	6.47603384359081e-17
TAL1.1.P.B_besthit	0.9990460842173244	1.0
ZKSC8.1.P.B_besthit	0.9992379854268518	1.0
TWST1.1.P.B_besthit	0.9999808187823036	1.0
MUSC.0.SM.D_besthit	0.9999957115043132	1.0
TCF21.1.SM.B_besthit	0.9999999948140984	1.0
BHA15.1.SM.B_besthit	0.9999999999996125	1.0
OLIG2.2.SM.B_besthit	0.999999999576455	1.0
OLIG1.0.S.D_besthit	0.9999999984060197	1.0
MGAP.1.S.B_besthit	0.9490542487048682	1.0
PAX8.0.PSM.A_besthit	0.9996263796700613	1.0
NF2L2.0.P.B_besthit	0.9022092990182814	1.0
NF2L1.0.P.B_besthit	0.9656478698862205	1.0
NF2L2.1.P.B_besthit	0.9999999876075509	1.0
NFE2.0.P.B_besthit	0.999999999256908	1.0
BACH1.0.P.B_besthit	1.0	1.0
BACH2.0.P.B_besthit	1.0	1.0
JUN.0.P.B_besthit	0.9999999999723506	1.0
JUND.0.PM.A_besthit	0.9999999997111129	1.0
ATF3.0.P.B_besthit	0.9999998357683628	1.0
BATF.1.P.B_besthit	0.9990058448894685	1.0
FOS.0.P.B_besthit	0.999999999966848	1.0
FOSL1.0.P.B_besthit	0.9999999977722442	1.0
FOSL2.0.P.B_besthit	0.9999999999999389	1.0
FOSB.0.P.B_besthit	0.9999999999999212	1.0
JUNB.0.PM.A_besthit	1.0	1.0
BACH2.1.SM.B_besthit	0.9981819584863023	1.0
NFE2.1.SM.B_besthit	0.9144994582772501	1.0
PAX3.0.PS.A_besthit	0.9999999973780287	1.0
PAX7.0.P.B_besthit	0.9999931512845484	1.0
ZFP90.0.P.C_besthit	0.9713991331232317	1.0
ZFP90.1.P.C_besthit	0.9692748212976424	1.0
ZFP1.0.PSM.A_besthit	0.6082241279674134	1.0
ZN239.0.P.C_besthit	1.3992396606001462e-13	1.5671484198721637e-11
TEAD3.0.PS.A_besthit	0.999999674611347	1.0
TEAD4.1.P.B_besthit	0.9999999917390051	1.0
TEAD4.0.PS.A_besthit	0.9999999999929042	1.0
TEAD1.0.PSM.A_besthit	1.0	1.0
TEAD2.0.PSM.A_besthit	0.9999999977327143	1.0
SIX2.1.M.C_besthit	0.7466036520568059	1.0
SIX1.1.SM.B_besthit	0.9966941100840733	1.0
SIX2.2.SM.B_besthit	0.9999553705193489	1.0
OSR2.1.M.C_besthit	0.355028763045188	1.0
FOXJ2.0.PSM.A_besthit	0.9998108589307395	1.0
ZNF12.1.M.C_besthit	0.7736170401834749	1.0
ZN302.0.P.B_besthit	0.9993717903105508	1.0
ZNF41.1.P.C_besthit	0.8839740658294775	1.0
ZN484.0.P.C_besthit	0.9965778769091918	1.0
ZN317.1.P.B_besthit	0.9996046721410773	1.0
ZNF41.0.P.C_besthit	0.0007172809126171643	0.017214741902811945
IRF7.0.S.D_besthit	0.9814607584239863	1.0
IRF7.1.SM.D_besthit	0.999956336458572	1.0
IRF2.0.PSM.A_besthit	0.999999092041972	1.0
IRF8.2.SM.B_besthit	0.9566491395936023	1.0
IRF8.1.SM.B_besthit	0.9504410446405356	1.0
PRDM1.0.S.B_besthit	0.9965647631901423	1.0
PRDM1.1.PS.A_besthit	0.9999999494077811	1.0
IRF3.0.PS.A_besthit	0.40737426295997614	1.0
IRF1.0.P.B_besthit	0.9999645432985145	1.0
IRF9.0.PSM.A_besthit	0.9998354076454726	1.0
STAT1.1.P.B_besthit	0.9999997766803774	1.0
STAT2.0.P.B_besthit	0.9999999999999881	1.0
ZN197.0.P.C_besthit	0.5337503529893558	1.0
ZN680.0.P.B_besthit	0.696887947875761	1.0
NFAC2.1.PS.A_besthit	0.9922582988946088	1.0
NFAC3.1.P.C_besthit	0.9999834898770293	1.0
NFAC4.0.P.D_besthit	0.9999997887636197	1.0
NFAC1.0.P.B_besthit	0.48476152090818053	1.0
NFAC2.0.P.B_besthit	0.9999999964839575	1.0
ZNF7.0.P.B_besthit	0.11105471278175728	1.0
ZN384.0.PSM.A_besthit	0.6510106929687889	1.0
ZN362.0.P.C_besthit	0.0003549980021718939	0.009416789110243922
ZN613.0.P.C_besthit	0.9957577352884794	1.0
Z585A.0.P.C_besthit	0.9999910596641869	1.0
ZN492.0.P.C_besthit	0.9998349320123036	1.0
ZFP82.0.P.C_besthit	0.3043704923713393	1.0
ZN184.0.P.B_besthit	0.030360124306793707	0.40804007068330744
ZFP37.0.P.C_besthit	0.3696675509808379	1.0
ZFP28.0.P.B_besthit	0.05224776462874809	0.6422652042168058
ZNF34.0.P.C_besthit	0.9952957985427057	1.0
Z280A.0.P.B_besthit	0.09221373205414786	1.0
ZN418.0.P.B_besthit	0.30481320513013627	1.0
NFAC1.3.SM.B_besthit	0.9999999999123094	1.0
NFAT5.0.SM.B_besthit	0.9998854475522287	1.0
NFAC2.3.M.C_besthit	0.9999999999813379	1.0
NFAC4.1.SM.D_besthit	0.9999999998417574	1.0
NFAT5.1.PS.A_besthit	0.5658928554069785	1.0
NFAC2.4.M.B_besthit	0.9999999999999041	1.0
NFAC1.1.PS.A_besthit	0.9999999838673996	1.0
NFAC3.0.SM.B_besthit	0.9999999373073448	1.0
NFAC1.2.SM.B_besthit	0.9999999960020908	1.0
NFAC2.2.S.C_besthit	0.9999999985452375	1.0
ZN771.0.SM.D_besthit	0.9999835053894224	1.0
RHXF1.0.SM.D_besthit	0.9996923839277335	1.0
PITX2.0.SM.D_besthit	0.9999999999971686	1.0
PITX3.0.SM.D_besthit	0.9999999999998548	1.0
GSC.0.SM.D_besthit	0.9999999999999986	1.0
PITX1.0.PSM.A_besthit	0.9999999047490659	1.0
PITX3.1.S.D_besthit	0.9377736055467571	1.0
LHX6.0.P.B_besthit	0.045996310428750506	0.5795535114022564
ZSC23.0.M.D_besthit	0.8728334198333098	1.0
LHX6.2.M.C_besthit	0.9999999999749767	1.0
LBX2.2.M.D_besthit	0.9999999995204699	1.0
HXC8.0.SM.D_besthit	0.9999999998923353	1.0
HXB4.1.PSM.A_besthit	0.9999999999998714	1.0
PO6F1.0.SM.D_besthit	0.8601936242050879	1.0
PAX7.1.S.B_besthit	0.999999999996224	1.0
PAX7.2.PM.A_besthit	0.9999975720731885	1.0
DLX5.0.PSM.A_besthit	0.9999999999723791	1.0
HESX1.1.S.D_besthit	0.9924736887993619	1.0
MSX2.1.SM.D_besthit	0.9999999999696281	1.0
MSX1.1.S.D_besthit	0.9999893921299253	1.0
HESX1.0.SM.D_besthit	0.9999956472811748	1.0
LMX1A.0.SM.D_besthit	0.9999999999999193	1.0
ALX3.1.S.D_besthit	1.0	1.0
PRRX2.1.S.D_besthit	0.9999999986614911	1.0
PRRX1.1.S.D_besthit	0.9999999999993219	1.0
VSX1.1.SM.D_besthit	1.0	1.0
PO3F2.1.S.B_besthit	0.999999999999956	1.0
PO3F3.2.S.B_besthit	0.9999999999999988	1.0
LHX6.1.S.B_besthit	0.9999750552329295	1.0
HME2.0.SM.D_besthit	0.9999999999973155	1.0
PRRX1.0.S.D_besthit	0.9999999999999961	1.0
PRRX2.0.SM.D_besthit	1.0	1.0
ARX.1.SM.D_besthit	1.0	1.0
ALX3.0.SM.D_besthit	1.0	1.0
ALX4.1.SM.D_besthit	0.9999999999999999	1.0
MSX2.0.SM.D_besthit	1.0	1.0
VSX1.0.SM.D_besthit	1.0	1.0
MSX1.0.SM.D_besthit	1.0	1.0
HME1.0.PSM.A_besthit	1.0	1.0
LBX2.0.S.D_besthit	0.9999999999998518	1.0
LBX2.1.S.D_besthit	0.9999999999999974	1.0
HXC4.0.SM.D_besthit	1.0	1.0
HXA4.0.SM.D_besthit	1.0	1.0
HXD4.0.SM.D_besthit	1.0	1.0
HXA6.0.SM.D_besthit	1.0	1.0
HXD8.0.SM.D_besthit	1.0	1.0
HXA7.0.SM.D_besthit	1.0	1.0
HXA5.0.SM.D_besthit	1.0	1.0
HXB5.0.SM.D_besthit	1.0	1.0
MEOX2.0.SM.D_besthit	1.0	1.0
MEOX1.0.SM.D_besthit	1.0	1.0
HXA2.0.SM.D_besthit	1.0	1.0
VAX2.0.SM.D_besthit	1.0	1.0
HXB2.0.SM.D_besthit	1.0	1.0
EMX2.0.S.D_besthit	1.0	1.0
HXD3.0.SM.D_besthit	1.0	1.0
HXB7.1.SM.B_besthit	0.4501983770925318	1.0
PO3F1.2.S.C_besthit	0.9999999999994424	1.0
HXB3.0.S.D_besthit	0.9999994730738921	1.0
PRGR.0.P.B_besthit	0.9995536072621526	1.0
MCR.0.S.D_besthit	6.119677975363062e-05	0.001869283454292717
ANDR.0.P.B_besthit	1.2331895593324312e-10	9.561962121593007e-09
GCR.0.PS.A_besthit	0.2530757569070083	1.0
PRGR.1.P.B_besthit	0.9524514497981419	1.0
GCR.1.S.B_besthit	0.9999999999999967	1.0
